target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,force_x,force_y,force_z,qw,qx,qy,qz
0.463449,-0.206523,0.246286,0.463633,-0.20627,0.246446,-0.000184024,-0.000253302,-0.000160728,-0.0873214,-0.123964,-0.0584908,0.505667,-0.500084,0.494867,0.499323
0.463447,-0.206526,0.246284,0.463634,-0.206267,0.246448,-0.000187148,-0.000258821,-0.000163687,-0.08044,-0.124642,-0.0590365,0.505666,-0.500087,0.494865,0.499322
0.463445,-0.206529,0.246283,0.463633,-0.206268,0.246449,-0.000188803,-0.000260335,-0.000166069,-0.0747556,-0.106107,-0.0654471,0.505667,-0.500087,0.494866,0.499321
0.463442,-0.206532,0.246282,0.463636,-0.206264,0.246449,-0.000193517,-0.000267491,-0.000167354,-0.0914589,-0.139289,-0.05789,0.505663,-0.500089,0.494866,0.499323
0.46344,-0.206535,0.24628,0.463635,-0.206267,0.246449,-0.000194732,-0.000267562,-0.000168259,-0.0704806,-0.105928,-0.0377443,0.505666,-0.500087,0.494868,0.49932
0.463438,-0.206538,0.246279,0.463637,-0.206263,0.24645,-0.000199148,-0.000275175,-0.000170486,-0.0893223,-0.137168,-0.0434923,0.505662,-0.500091,0.494865,0.499323
0.463435,-0.206541,0.246278,0.463637,-0.206262,0.246449,-0.000201969,-0.000278274,-0.000171284,-0.0913595,-0.1304,-0.0442039,0.505664,-0.500088,0.494865,0.499324
0.463433,-0.206544,0.246277,0.463638,-0.206263,0.246454,-0.000204742,-0.00028046,-0.000177448,-0.0867816,-0.112665,-0.0823437,0.505663,-0.500094,0.494864,0.49932
0.463431,-0.206547,0.246275,0.46364,-0.206262,0.246456,-0.000208949,-0.000284652,-0.000180448,-0.0943554,-0.113642,-0.0799405,0.505661,-0.500095,0.494865,0.499321
0.463428,-0.20655,0.246274,0.463641,-0.206259,0.246454,-0.000212496,-0.00029048,-0.000179487,-0.0963556,-0.137163,-0.0501738,0.50566,-0.500095,0.494863,0.499323
0.463426,-0.206553,0.246273,0.46364,-0.206257,0.246453,-0.000214006,-0.000296308,-0.00017966,-0.083057,-0.148868,-0.0393409,0.50566,-0.500096,0.494861,0.499324
0.463424,-0.206556,0.246272,0.46364,-0.206259,0.246454,-0.000216359,-0.000297089,-0.000181998,-0.0833627,-0.122496,-0.0431477,0.505662,-0.500097,0.494861,0.499321
0.463421,-0.206559,0.246271,0.463642,-0.206255,0.246454,-0.000220811,-0.000304107,-0.000183538,-0.0968653,-0.144035,-0.0405719,0.505657,-0.500099,0.49486,0.499325
